"Time","Total","Free","FS Cache","Used Memory","Pinned"
1638265680000,8192,180.564453125,4264.482421875,3746.953125,2651.69140625
1638265800000,8192,180.71875,4264.486328125,3746.794921875,2651.564453125
1638265920000,8192,180.572265625,4264.57421875,3746.853515625,2651.59375
1638266040000,8192,180.4140625,4264.671875,3746.9140625,2651.59375
1638266160000,8192,180.21875,4264.681640625,3747.099609375,2651.55078125
1638266280000,8192,180.384765625,4264.716796875,3746.8984375,2651.5546875
1638266400000,8192,180.017578125,4264.791015625,3747.19140625,2651.6328125
1638266520000,8192,179.484375,4264.994140625,3747.521484375,2651.634765625
1638266640000,8192,179.4921875,4265.029296875,3747.478515625,2651.6171875
1638266760000,8192,179.404296875,4265.048828125,3747.546875,2651.634765625
1638266880000,8192,177.326171875,4265.076171875,3749.59765625,2651.642578125
1638267000000,8192,179.259765625,4265.1796875,3747.560546875,2651.60546875
1638267120000,8192,178.90234375,4265.29296875,3747.8046875,2651.60546875
1638267240000,8192,179.06640625,4265.33984375,3747.59375,2651.6015625
1638267360000,8192,178.8984375,4265.38671875,3747.71484375,2651.646484375
1638267480000,8192,177.03515625,4265.408203125,3749.556640625,2651.353515625
1638267600000,8192,178.53515625,4265.59375,3747.87109375,2651.59765625
1638267720000,8192,178.46875,4265.609375,3747.921875,2651.63671875
1638267840000,8192,178.421875,4265.63671875,3747.94140625,2651.634765625
1638267960000,8192,177.369140625,4265.685546875,3748.9453125,2651.74609375
1638268080000,8192,175.474609375,4265.79296875,3750.732421875,2652
1638268200000,8192,176.86328125,4265.951171875,3749.185546875,2651.845703125
1638268320000,8192,177.421875,4265.958984375,3748.619140625,2651.591796875
1638268440000,8192,177.302734375,4265.98828125,3748.708984375,2651.650390625
1638268560000,8192,177.34375,4266.0078125,3748.6484375,2651.5859375
1638268680000,8192,177.12890625,4266.189453125,3748.681640625,2651.6171875
1638268800000,8192,177.060546875,4266.2109375,3748.728515625,2651.642578125
1638268920000,8192,174.9765625,4266.24609375,3750.77734375,2651.685546875
1638269040000,8192,176.7265625,4266.296875,3748.9765625,2651.658203125
1638269160000,8192,176.482421875,4266.419921875,3749.09765625,2651.6484375
1638269280000,8192,176.421875,4266.52734375,3749.05078125,2651.6328125
1638269400000,8192,174.349609375,4266.55078125,3751.099609375,2651.66796875
1638269520000,8192,176.357421875,4266.55859375,3749.083984375,2651.658203125
1638269640000,8192,176.330078125,4266.58984375,3749.080078125,2651.64453125
1638269760000,8192,176.080078125,4266.853515625,3749.06640625,2651.623046875
1638269880000,8192,175.380859375,4266.9296875,3749.689453125,2651.79296875
1638270000000,8192,174.267578125,4266.958984375,3750.7734375,2652.02734375
1638270120000,8192,175.94921875,4266.96484375,3749.0859375,2651.6640625
1638270240000,8192,175.857421875,4267.06640625,3749.076171875,2651.62109375
1638270360000,8192,175.755859375,4267.15234375,3749.091796875,2651.65234375
1638270480000,8192,175.783203125,4267.15234375,3749.064453125,2651.587890625
1638270600000,8192,175.78125,4267.16796875,3749.05078125,2651.58203125
1638270720000,8192,175.7109375,4267.1953125,3749.09375,2651.626953125
1638270840000,8192,175.603515625,4267.306640625,3749.08984375,2651.611328125
1638270960000,8192,175.021484375,4267.39453125,3749.583984375,2651.61328125
